,pclass,sex,age,sibsp,parch,fare,embarked
0,3,male,22.0,1,0,7.25,S
1,1,female,38.0,1,0,71.2833,C
2,3,female,26.0,0,0,7.925,S
3,1,female,35.0,1,0,53.1,S
4,3,male,35.0,0,0,8.05,S
5,3,male,,0,0,8.4583,Q
6,1,male,54.0,0,0,51.8625,S
7,3,male,2.0,3,1,21.075,S
8,3,female,27.0,0,2,11.1333,S
9,2,female,14.0,1,0,30.0708,C
10,3,female,4.0,1,1,16.7,S
11,1,female,58.0,0,0,26.55,S
12,3,male,20.0,0,0,8.05,S
13,3,male,39.0,1,5,31.275,S
14,3,female,14.0,0,0,7.8542,S
15,2,female,55.0,0,0,16.0,S
16,3,male,2.0,4,1,29.125,Q
17,2,male,,0,0,13.0,S
18,3,female,31.0,1,0,18.0,S
19,3,female,,0,0,7.225,C
20,2,male,35.0,0,0,26.0,S
21,2,male,34.0,0,0,13.0,S
22,3,female,15.0,0,0,8.0292,Q
23,1,male,28.0,0,0,35.5,S
24,3,female,8.0,3,1,21.075,S
25,3,female,38.0,1,5,31.3875,S
26,3,male,,0,0,7.225,C
27,1,male,19.0,3,2,263.0,S
28,3,female,,0,0,7.8792,Q
29,3,male,,0,0,7.8958,S
30,1,male,40.0,0,0,27.7208,C
31,1,female,,1,0,146.5208,C
32,3,female,,0,0,7.75,Q
33,2,male,66.0,0,0,10.5,S
34,1,male,28.0,1,0,82.1708,C
35,1,male,42.0,1,0,52.0,S
36,3,male,,0,0,7.2292,C
37,3,male,21.0,0,0,8.05,S
38,3,female,18.0,2,0,18.0,S
39,3,female,14.0,1,0,11.2417,C
40,3,female,40.0,1,0,9.475,S
41,2,female,27.0,1,0,21.0,S
42,3,male,,0,0,7.8958,C
43,2,female,3.0,1,2,41.5792,C
44,3,female,19.0,0,0,7.8792,Q
45,3,male,,0,0,8.05,S
46,3,male,,1,0,15.5,Q
47,3,female,,0,0,7.75,Q
48,3,male,,2,0,21.6792,C
49,3,female,18.0,1,0,17.8,S
50,3,male,7.0,4,1,39.6875,S
51,3,male,21.0,0,0,7.8,S
52,1,female,49.0,1,0,76.7292,C
53,2,female,29.0,1,0,26.0,S
54,1,male,65.0,0,1,61.9792,C
55,1,male,,0,0,35.5,S
56,2,female,21.0,0,0,10.5,S
57,3,male,28.5,0,0,7.2292,C
58,2,female,5.0,1,2,27.75,S
59,3,male,11.0,5,2,46.9,S
60,3,male,22.0,0,0,7.2292,C
61,1,female,38.0,0,0,80.0,
62,1,male,45.0,1,0,83.475,S
63,3,male,4.0,3,2,27.9,S
64,1,male,,0,0,27.7208,C
65,3,male,,1,1,15.2458,C
66,2,female,29.0,0,0,10.5,S
67,3,male,19.0,0,0,8.1583,S
68,3,female,17.0,4,2,7.925,S
69,3,male,26.0,2,0,8.6625,S
70,2,male,32.0,0,0,10.5,S
71,3,female,16.0,5,2,46.9,S
72,2,male,21.0,0,0,73.5,S
73,3,male,26.0,1,0,14.4542,C
74,3,male,32.0,0,0,56.4958,S
75,3,male,25.0,0,0,7.65,S
76,3,male,,0,0,7.8958,S
77,3,male,,0,0,8.05,S
78,2,male,0.83,0,2,29.0,S
79,3,female,30.0,0,0,12.475,S
80,3,male,22.0,0,0,9.0,S
81,3,male,29.0,0,0,9.5,S
82,3,female,,0,0,7.7875,Q
83,1,male,28.0,0,0,47.1,S
84,2,female,17.0,0,0,10.5,S
85,3,female,33.0,3,0,15.85,S
86,3,male,16.0,1,3,34.375,S
87,3,male,,0,0,8.05,S
88,1,female,23.0,3,2,263.0,S
89,3,male,24.0,0,0,8.05,S
90,3,male,29.0,0,0,8.05,S
91,3,male,20.0,0,0,7.8542,S
92,1,male,46.0,1,0,61.175,S
93,3,male,26.0,1,2,20.575,S
94,3,male,59.0,0,0,7.25,S
95,3,male,,0,0,8.05,S
96,1,male,71.0,0,0,34.6542,C
97,1,male,23.0,0,1,63.3583,C
98,2,female,34.0,0,1,23.0,S
99,2,male,34.0,1,0,26.0,S
100,3,female,28.0,0,0,7.8958,S
101,3,male,,0,0,7.8958,S
102,1,male,21.0,0,1,77.2875,S
103,3,male,33.0,0,0,8.6542,S
104,3,male,37.0,2,0,7.925,S
105,3,male,28.0,0,0,7.8958,S
106,3,female,21.0,0,0,7.65,S
107,3,male,,0,0,7.775,S
108,3,male,38.0,0,0,7.8958,S
109,3,female,,1,0,24.15,Q
110,1,male,47.0,0,0,52.0,S
111,3,female,14.5,1,0,14.4542,C
112,3,male,22.0,0,0,8.05,S
113,3,female,20.0,1,0,9.825,S
114,3,female,17.0,0,0,14.4583,C
115,3,male,21.0,0,0,7.925,S
116,3,male,70.5,0,0,7.75,Q
117,2,male,29.0,1,0,21.0,S
118,1,male,24.0,0,1,247.5208,C
119,3,female,2.0,4,2,31.275,S
120,2,male,21.0,2,0,73.5,S
121,3,male,,0,0,8.05,S
122,2,male,32.5,1,0,30.0708,C
123,2,female,32.5,0,0,13.0,S
124,1,male,54.0,0,1,77.2875,S
125,3,male,12.0,1,0,11.2417,C
126,3,male,,0,0,7.75,Q
127,3,male,24.0,0,0,7.1417,S
128,3,female,,1,1,22.3583,C
129,3,male,45.0,0,0,6.975,S
130,3,male,33.0,0,0,7.8958,C
131,3,male,20.0,0,0,7.05,S
132,3,female,47.0,1,0,14.5,S
133,2,female,29.0,1,0,26.0,S
134,2,male,25.0,0,0,13.0,S
135,2,male,23.0,0,0,15.0458,C
136,1,female,19.0,0,2,26.2833,S
137,1,male,37.0,1,0,53.1,S
138,3,male,16.0,0,0,9.2167,S
139,1,male,24.0,0,0,79.2,C
140,3,female,,0,2,15.2458,C
141,3,female,22.0,0,0,7.75,S
142,3,female,24.0,1,0,15.85,S
143,3,male,19.0,0,0,6.75,Q
144,2,male,18.0,0,0,11.5,S
145,2,male,19.0,1,1,36.75,S
146,3,male,27.0,0,0,7.7958,S
