,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
0,2022-05-18,2.0,10000.0,1100.0,Ground out of 2,,,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
1,2022-05-13,2.0,20000.0,800.0,1 out of 3,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1.0,
2,2022-05-16,2.0,17000.0,1000.0,1 out of 3,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
3,2022-07-04,2.0,10000.0,800.0,1 out of 2,Super Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
4,,2.0,7500.0,850.0,1 out of 2,Carpet Area,,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
5,2022-04-29,2.0,7000.0,600.0,Ground out of 1,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
6,2022-06-21,2.0,10000.0,700.0,Ground out of 4,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,,Contact Agent
7,2022-06-21,1.0,5000.0,250.0,1 out of 2,Super Area,Malancha,,Unfurnished,Bachelors,1.0,Contact Agent
8,2022-06-07,2.0,26000.0,800.0,1 out of 2,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,Bachelors,2.0,Contact Agent
9,2022-06-20,2.0,,1000.0,1 out of 3,Carpet Area,Natunhat,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
10,2022-05-23,3.0,25000.0,1200.0,1 out of 4,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
11,2022-06-07,1.0,5000.0,400.0,1 out of 1,Carpet Area,Keshtopur,Kolkata,,Bachelors/Family,1.0,Contact Agent
12,2022-05-14,1.0,6500.0,250.0,1 out of 4,Carpet Area,"Tarulia, Keshtopur",,,Bachelors,1.0,Contact Owner
13,2022-05-09,1.0,5500.0,,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1.0,
14,2022-05-05,3.0,8500.0,900.0,Ground out of 2,,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2.0,Contact Owner
15,2022-06-01,3.0,,1286.0,1 out of 1,Carpet Area,New Town Action Area 1,Kolkata,Furnished,Bachelors/Family,2.0,Contact Owner
16,2022-05-17,2.0,6000.0,600.0,1 out of 2,Super Area,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
17,2022-06-20,2.0,10000.0,800.0,Ground out of 2,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
18,2022-06-09,2.0,11000.0,2000.0,Ground out of 3,Carpet Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
19,,2.0,6000.0,660.0,1 out of 2,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,,Contact Owner
20,2022-07-02,,7900.0,650.0,,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,1.0,Contact Owner
21,2022-06-14,2.0,9000.0,400.0,2 out of 3,,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2.0,Contact Owner
22,,1.0,4000.0,300.0,Ground out of 4,Carpet Area,"Garia Station, Garia",Kolkata,,Bachelors/Family,1.0,Contact Owner
23,2022-06-15,3.0,6500.0,1600.0,Ground out of 2,Super Area,Joka,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
