,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
0,7.0,99.0,,9.0,1.0,91.0
1,4.0,82.0,No,4.0,2.0,65.0
2,8.0,51.0,Yes,7.0,2.0,45.0
3,5.0,52.0,Yes,5.0,2.0,36.0
4,7.0,75.0,No,8.0,5.0,66.0
5,3.0,78.0,No,9.0,6.0,61.0
6,7.0,73.0,Yes,5.0,6.0,63.0
7,8.0,45.0,Yes,4.0,6.0,42.0
8,5.0,77.0,No,8.0,2.0,61.0
9,,,No,4.0,0.0,69.0
10,8.0,91.0,No,4.0,5.0,84.0
11,8.0,79.0,No,6.0,2.0,73.0
12,3.0,47.0,No,,2.0,27.0
13,6.0,47.0,No,4.0,2.0,33.0
14,5.0,79.0,No,7.0,8.0,68.0
15,2.0,72.0,No,4.0,3.0,43.0
16,8.0,,Yes,8.0,4.0,67.0
17,6.0,83.0,Yes,7.0,2.0,
18,2.0,54.0,Yes,4.0,9.0,30.0
19,5.0,75.0,No,7.0,0.0,63.0
20,1.0,99.0,Yes,4.0,3.0,71.0
21,6.0,96.0,No,9.0,0.0,85.0
22,9.0,74.0,Yes,7.0,6.0,73.0
23,1.0,85.0,No,5.0,6.0,57.0
24,3.0,61.0,No,6.0,3.0,35.0
25,7.0,62.0,Yes,7.0,4.0,49.0
26,4.0,79.0,No,8.0,9.0,66.0
27,9.0,84.0,Yes,6.0,6.0,83.0
28,3.0,94.0,Yes,6.0,,74.0
29,5.0,90.0,Yes,4.0,3.0,74.0
30,3.0,61.0,Yes,7.0,3.0,39.0
31,7.0,44.0,Yes,9.0,1.0,36.0
32,5.0,70.0,Yes,6.0,9.0,58.0
33,9.0,52.0,,8.0,,
34,7.0,67.0,Yes,9.0,3.0,60.0
35,2.0,97.0,Yes,,4.0,74.0
36,4.0,59.0,No,8.0,3.0,42.0
37,9.0,72.0,No,8.0,2.0,68.0
38,2.0,55.0,Yes,4.0,1.0,32.0
39,9.0,68.0,No,5.0,3.0,64.0
40,,62.0,No,7.0,4.0,45.0
41,2.0,63.0,Yes,6.0,0.0,39.0
42,4.0,73.0,Yes,7.0,0.0,58.0
43,7.0,46.0,No,9.0,5.0,36.0
44,8.0,77.0,Yes,6.0,4.0,71.0
45,3.0,,Yes,4.0,3.0,54.0
46,1.0,43.0,Yes,7.0,0.0,17.0
47,4.0,73.0,No,4.0,6.0,54.0
48,2.0,81.0,Yes,4.0,3.0,58.0
49,8.0,61.0,No,7.0,2.0,53.0
50,4.0,44.0,Yes,7.0,6.0,27.0
51,2.0,89.0,Yes,6.0,1.0,65.0
52,6.0,81.0,No,9.0,9.0,75.0
53,6.0,62.0,Yes,9.0,0.0,52.0
54,4.0,93.0,No,8.0,3.0,78.0
55,6.0,99.0,No,4.0,7.0,91.0
56,2.0,,Yes,9.0,5.0,33.0
57,2.0,70.0,Yes,5.0,8.0,47.0
58,4.0,98.0,No,6.0,0.0,78.0
59,,48.0,No,6.0,0.0,38.0
60,7.0,82.0,Yes,8.0,4.0,70.0
61,9.0,97.0,,8.0,5.0,98.0
62,8.0,92.0,Yes,4.0,7.0,87.0
63,5.0,64.0,Yes,6.0,2.0,49.0
64,2.0,64.0,Yes,6.0,5.0,41.0
65,5.0,88.0,No,5.0,2.0,71.0
66,8.0,60.0,No,4.0,7.0,
67,9.0,48.0,No,4.0,3.0,42.0
68,9.0,94.0,No,9.0,1.0,91.0
69,1.0,87.0,Yes,8.0,8.0,
70,9.0,77.0,No,,9.0,74.0
71,7.0,,Yes,,7.0,54.0
72,9.0,82.0,Yes,5.0,5.0,81.0
73,8.0,62.0,Yes,4.0,2.0,52.0
74,1.0,88.0,Yes,9.0,1.0,65.0
75,8.0,43.0,Yes,7.0,3.0,36.0
76,8.0,68.0,No,7.0,3.0,61.0
77,3.0,54.0,Yes,5.0,0.0,35.0
78,1.0,40.0,,8.0,8.0,15.0
79,8.0,93.0,Yes,6.0,,88.0
80,3.0,69.0,No,4.0,7.0,45.0
81,3.0,,Yes,9.0,6.0,49.0
82,1.0,59.0,Yes,8.0,5.0,
83,5.0,72.0,Yes,9.0,2.0,60.0
84,7.0,80.0,No,8.0,3.0,71.0
85,9.0,83.0,Yes,4.0,1.0,81.0
86,7.0,75.0,No,6.0,6.0,67.0
87,9.0,99.0,No,4.0,1.0,95.0
88,8.0,61.0,Yes,6.0,9.0,58.0
89,2.0,52.0,No,9.0,0.0,29.0
90,1.0,46.0,No,,5.0,21.0
91,7.0,47.0,Yes,6.0,3.0,38.0
92,7.0,67.0,Yes,8.0,7.0,60.0
93,8.0,84.0,Yes,5.0,,76.0
94,,82.0,Yes,9.0,8.0,
95,3.0,,No,7.0,5.0,30.0
96,8.0,64.0,No,5.0,1.0,57.0
97,6.0,95.0,Yes,6.0,7.0,81.0
98,3.0,55.0,Yes,5.0,4.0,36.0
99,,49.0,Yes,9.0,4.0,
