age,is_working,job,marital,education,balance,housing,loan,contact,campaign,poutcome,offer,credit
29,no,technician,single,tertiary,18254,no,no,cellular,2,unknown,no,943
26,no,services,single,secondary,512,yes,yes,unknown,3,unknown,no,0
30,no,management,single,secondary,135,no,no,cellular,2,unknown,no,44
41,no,technician,married,unknown,30,yes,no,cellular,1,unknown,no,0
27,no,admin.,single,secondary,321,no,yes,unknown,1,unknown,no,37
22,yes,student,single,secondary,185,no,no,cellular,1,unknown,yes,89
53,yes,blue-collar,married,secondary,1777,yes,no,cellular,5,failure,yes,638
38,no,admin.,divorced,secondary,74,yes,no,cellular,3,unknown,no,0
59,yes,management,married,tertiary,3342,no,no,cellular,2,other,yes,1207
37,yes,housemaid,single,secondary,465,yes,no,cellular,3,unknown,yes,168
47,no,admin.,married,secondary,84,no,no,telephone,3,unknown,no,0
38,no,management,single,tertiary,0,yes,no,unknown,3,unknown,no,0
48,no,services,married,secondary,473,no,yes,cellular,2,unknown,no,41
30,no,admin.,married,secondary,2931,yes,no,unknown,3,unknown,no,164
90,yes,retired,divorced,primary,712,no,no,telephone,1,unknown,yes,271
53,no,admin.,married,secondary,0,no,no,telephone,1,failure,no,0
36,yes,technician,married,tertiary,0,no,no,cellular,2,unknown,no,0
31,no,management,married,tertiary,91,no,no,unknown,2,unknown,no,0
52,no,admin.,divorced,secondary,1049,no,yes,unknown,6,unknown,no,69
39,yes,unemployed,married,primary,7005,yes,no,cellular,2,success,yes,2475
58,no,services,married,secondary,382,no,no,cellular,4,unknown,no,39
35,no,blue-collar,married,primary,2953,yes,no,telephone,2,unknown,no,162
20,yes,blue-collar,single,secondary,76,yes,no,cellular,2,unknown,yes,35
29,no,self-employed,single,tertiary,805,no,no,cellular,2,success,no,71
41,yes,management,married,tertiary,0,no,no,cellular,4,other,yes,0
52,no,unknown,married,primary,547,no,no,unknown,2,unknown,no,60
47,no,admin.,married,secondary,2354,yes,no,unknown,1,unknown,no,139
30,yes,services,married,secondary,0,yes,no,cellular,4,unknown,yes,0
28,no,blue-collar,married,secondary,217,yes,no,unknown,1,unknown,no,0
27,yes,services,single,secondary,339,no,no,cellular,1,unknown,yes,155
93,yes,retired,married,unknown,775,no,no,cellular,2,success,yes,285
25,yes,technician,married,tertiary,839,yes,no,cellular,3,unknown,yes,312
35,no,technician,married,secondary,31,no,no,cellular,8,unknown,no,31
43,no,management,divorced,tertiary,0,yes,no,cellular,1,unknown,no,0
35,yes,admin.,married,secondary,898,yes,no,cellular,1,unknown,yes,329
36,yes,admin.,single,secondary,810,yes,no,unknown,1,unknown,no,287
53,no,services,single,secondary,4778,yes,no,cellular,1,unknown,no,266
51,no,technician,married,tertiary,0,yes,no,unknown,19,unknown,no,0
39,no,technician,married,tertiary,14,no,no,cellular,2,unknown,no,0
55,no,retired,married,secondary,119,no,yes,cellular,1,unknown,no,0
53,no,blue-collar,married,primary,2144,yes,no,cellular,2,failure,no,106
44,no,blue-collar,single,primary,1308,no,yes,unknown,1,unknown,no,86
27,no,admin.,single,unknown,861,no,no,cellular,4,unknown,yes,43
43,no,management,married,tertiary,-127,no,no,cellular,2,unknown,no,0
30,yes,blue-collar,married,secondary,5,no,no,cellular,3,unknown,yes,0
56,yes,technician,divorced,secondary,179,no,no,cellular,1,unknown,yes,88
51,yes,management,single,tertiary,2242,no,no,telephone,8,unknown,no,812
39,yes,services,married,secondary,52,no,no,telephone,3,unknown,yes,36
49,no,blue-collar,married,primary,592,no,no,cellular,15,unknown,no,51
28,no,technician,single,tertiary,356,no,no,cellular,2,unknown,no,33
41,no,management,married,secondary,23,no,yes,cellular,1,unknown,no,0
32,no,blue-collar,single,secondary,118,yes,no,cellular,1,success,no,0
30,no,technician,single,secondary,316,yes,yes,cellular,2,other,no,0
33,no,technician,divorced,secondary,855,yes,no,cellular,3,unknown,no,58
43,no,management,married,tertiary,0,yes,no,cellular,2,unknown,no,0
56,yes,admin.,married,secondary,1270,yes,no,cellular,2,other,no,432
47,yes,admin.,married,secondary,663,yes,yes,cellular,1,other,yes,245
37,no,entrepreneur,married,tertiary,404,yes,no,cellular,10,unknown,no,65
36,no,student,married,tertiary,408,no,no,unknown,3,unknown,no,45
30,yes,technician,single,secondary,3286,yes,no,cellular,1,unknown,yes,1155
41,yes,services,married,secondary,803,yes,no,cellular,4,failure,yes,290
35,no,management,single,tertiary,1423,yes,no,unknown,1,unknown,no,100
40,no,technician,divorced,secondary,6,no,no,cellular,16,unknown,no,0
74,no,retired,married,primary,5539,no,no,cellular,2,failure,no,307
60,no,management,married,secondary,0,no,no,cellular,4,failure,no,0
36,no,services,married,secondary,1253,yes,no,cellular,2,unknown,no,88
38,no,technician,married,secondary,2767,yes,no,cellular,2,unknown,no,154
44,yes,technician,divorced,secondary,14,no,no,cellular,1,unknown,yes,0
62,yes,retired,married,secondary,569,no,no,cellular,5,success,yes,209
45,no,admin.,divorced,secondary,-288,no,yes,cellular,2,unknown,no,0
62,yes,blue-collar,married,secondary,272,no,no,cellular,1,success,yes,121
32,no,blue-collar,married,secondary,0,yes,no,unknown,3,unknown,no,0
33,no,management,married,tertiary,603,yes,no,cellular,1,unknown,no,59
37,yes,student,single,unknown,444,no,no,cellular,1,success,yes,179
32,no,technician,married,tertiary,401,yes,no,cellular,1,unknown,no,37
45,yes,admin.,divorced,secondary,479,no,no,cellular,2,unknown,no,201
57,no,technician,married,secondary,3071,yes,yes,cellular,3,unknown,no,169
82,no,retired,married,secondary,0,no,no,telephone,2,unknown,no,33
51,yes,self-employed,married,secondary,1377,no,no,unknown,2,unknown,no,480
30,yes,technician,single,tertiary,53,no,no,cellular,1,unknown,yes,41
36,no,management,married,tertiary,287,no,yes,cellular,1,unknown,no,32
53,no,management,married,tertiary,1759,no,no,cellular,3,unknown,no,115
51,yes,technician,married,secondary,221,yes,no,unknown,3,unknown,no,81
46,no,technician,married,secondary,967,no,no,cellular,3,unknown,no,85
36,no,technician,married,primary,4585,yes,no,unknown,3,unknown,no,242
65,no,retired,married,secondary,3409,no,no,cellular,2,unknown,no,203
55,no,unknown,married,unknown,666,no,no,unknown,5,unknown,no,35
38,no,self-employed,married,unknown,10855,no,no,unknown,2,unknown,no,558
60,no,retired,married,primary,949,no,yes,telephone,2,unknown,no,72
34,no,unemployed,married,tertiary,10,no,no,cellular,5,unknown,no,0
37,no,technician,divorced,secondary,0,no,yes,cellular,1,unknown,no,0
28,no,technician,single,secondary,541,yes,no,unknown,3,unknown,no,36
55,no,retired,married,primary,-90,yes,yes,unknown,2,unknown,no,0
30,no,management,single,tertiary,5074,yes,no,cellular,2,unknown,no,267
29,yes,admin.,single,secondary,163,yes,yes,unknown,1,unknown,yes,65
52,yes,management,married,tertiary,4675,no,no,cellular,3,unknown,yes,1661
38,no,management,married,tertiary,1463,yes,no,cellular,4,unknown,no,78
34,no,admin.,married,secondary,869,no,no,unknown,1,unknown,yes,87
32,no,management,married,tertiary,1388,yes,no,cellular,1,success,no,65
26,yes,student,single,secondary,100,no,no,cellular,1,unknown,yes,48
57,no,services,married,primary,53,no,no,cellular,2,unknown,no,40
44,no,management,single,secondary,1012,no,no,unknown,1,unknown,no,54
31,yes,student,single,secondary,3511,no,no,cellular,1,unknown,yes,1268
59,no,retired,married,primary,1245,no,no,unknown,2,unknown,no,97
38,yes,entrepreneur,married,secondary,593,yes,yes,cellular,24,unknown,yes,212
48,yes,blue-collar,single,primary,1080,yes,no,unknown,3,unknown,no,387
48,no,admin.,divorced,secondary,771,yes,no,unknown,1,unknown,no,74
67,no,retired,divorced,primary,1746,no,no,cellular,1,unknown,no,133
30,no,services,married,secondary,-298,no,yes,cellular,1,unknown,no,0
32,no,management,single,tertiary,656,yes,yes,cellular,2,unknown,no,31
30,no,student,single,secondary,3096,no,no,cellular,3,failure,no,165
33,no,management,married,tertiary,643,no,no,cellular,3,other,no,50
40,no,management,married,tertiary,409,no,no,cellular,2,unknown,no,51
50,no,management,married,tertiary,19447,yes,yes,cellular,1,unknown,no,1006
35,no,blue-collar,single,primary,1284,yes,no,telephone,5,unknown,no,94
27,no,entrepreneur,single,tertiary,0,yes,no,unknown,2,unknown,no,0
48,yes,blue-collar,divorced,secondary,-314,yes,no,cellular,5,unknown,no,0
